@relation AnimalPosition

@attribute longitude numeric
@attribute latitude numeric

@data
-54.722722,-20.443885
-54.722705,-20.442988
-54.722673,-20.442895
-54.722592,-20.442743
-54.722835,-20.444147
-54.722762,-20.44302
-54.722835,-20.443042
-54.722705,-20.442905
-54.72286,-20.442993
-54.722917,-20.44305
-54.722892,-20.44304
-54.722917,-20.443052
-54.722973,-20.44318
-54.723015,-20.443258
-54.72277,-20.442812
-54.723283,-20.443277
-54.723357,-20.443597
-54.722965,-20.443153
-54.722745,-20.443872
-54.723592,-20.443513
-54.723153,-20.4433
-54.72312,-20.443097
-54.723007,-20.443025
-54.722933,-20.44292
-54.722843,-20.442965
-54.72308,-20.44336
-54.723445,-20.44368
-54.723177,-20.44336
-54.723007,-20.443195
-54.722982,-20.443062
-54.72308,-20.442948
-54.722835,-20.44281
-54.722892,-20.443077
-54.722973,-20.44323
-54.722803,-20.443117
-54.72286,-20.443385
-54.722835,-20.443175
-54.72321,-20.443105
-54.722877,-20.443652
-54.722917,-20.443362
